#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:6
O0*k3	Basic+	药理学::药物	塞来昔布	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>选择性COX2抑制药</b></span></li><li>1. 不影响TXA2，抑制PGI2。</li><li>2. 肾损害。血栓形成倾向慎用。</li></ul>"	
Eb2eSU0YvJ	问答题	药理学::药物	<div>吲哚美辛</div>	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>吲哚美辛=消炎痛=解热镇痛抗炎药（吲哚类）</b></span></li><li>药理作用：</li><ul><li>解热作用 +++ 镇痛作用 ++++ 抗炎抗风湿 ++++</li><li><b>最强的PG合成酶抑制药之一</b></li></ul><li>临床应用：其他药不能耐受或疗效不显著者、癌性发热</li><li>不良反应：胃出血（偶尔）、过敏反应</li></ul>"	
jw<ZU=*r^?	问答题	药理学::药物	<div>双氯芬酸</div>	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>双氯芬酸（感冒通主要成分）=解热镇痛抗炎药（芳基乙酸类）</b></span></li><li>解热镇痛抗炎效应强于吲哚美辛</li><li>临床应用：类风湿关节炎、各种中等程度疼痛</li><li>给药：口服</li><li>不良反应：不良反应轻，与阿司匹林相同，偶有肝功能异常，白细胞减少。</li></ul>"	
dzE}Y.gJz]	问答题	药理学::药物	布洛芬	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>解热镇痛抗炎药（芳基丙酸类）</b></span></li><li>药理作用：有明显<b>抗炎</b>解热镇痛作用</li><li>临床应用：主要用于<span style=""color:
red"">风湿性关节炎、</span>骨关节炎、强直性关节炎、急性肌腱炎、滑液囊炎、痛经</li><li>给药：口服</li><li>不良反应：胃肠道反应是最常见的不良反应<br></li></ul>"	
"B<#L3oLQgC"	问答题	药理学::药物	钙通道阻滞药	"<b>药理作用</b><ol><li><span style=""color: rgb(170, 0, 0);""><b>抑制心脏</b></span></li><li>舒张血管和其他平滑肌</li><li>抗动脉粥样硬化作用</li><li>抑制血小板聚集和增加红细胞变形能力</li><li>对肾功能的影响--排钠利尿（肾脏保护作用）</li></ol><div><b>临床应用</b></div><div><ol><li>抗高血压</li><li>抗心绞痛 </li><li>抗心律失常</li><li>慢性心功能不全</li><li>肥厚性心肌病</li><li>脑血管疾病</li><li>其他：</li><ul><li>心肌缺血、动脉粥样硬化等</li><li>雷诺病、支气管哮喘、急性胃肠痉挛性腹痛、痛经、偏头痛等也有效</li></ul></ol><div><b>体内过程</b></div></div><div><ul><li>口服易吸收
</li><li><span style=""color: rgb(170, 0, 0);"">首关消除明显</span>
</li><li>生物利用度<span style=""color: rgb(170, 0, 0);"">低</span>
</li><li>血浆蛋白结合率高
</li><li>排泄缓慢</li></ul><div><b>不良反应</b></div></div><div><ul><li>较安全,一般不良反应有：颜面潮红、头痛、眩晕、恶心、便秘等</li></ul></div><div><br></div>"	
"pC~?17#MSq"	问答题	药理学::药物	硝苯地平	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>硝苯地平=心痛定=钙通道阻滞药</b></span></li><li>药理作用：舒张血管作用较强、抑制心脏作用较弱<br></li><li><div>主要用于治疗<span style=""color:red"">高血压</span>和<span style=""color: red;"">心绞痛</span>。<span style=""color: red;"">变异性心绞痛</span>疗效最好</div></li><li><div>可降低<b>奎尼丁血药浓度</b><br></div></li></ul>"	
y/N,h,);xj	问答题	药理学::药物	尼莫地平	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>钙通道阻滞药</b></span></li><li>药理作用：对脑血管舒张作用较强<br></li><li>临床应用：主要用于治疗<span style=""color:red"">脑血管疾病</span><br></li></ul>"	
E;*e7%c,A	问答题	药理学::药物	维拉帕米	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>钙通道阻滞药</b></span></li><li>抑制心脏作用较强,舒张血管作用较弱<br></li><li>临床应用：</li><ul><li><span style=""color: rgb(170, 0, 0);"">治疗阵发性室上性心动过速的首选药</span></li><li><span style=""color: rgb(170, 0, 0);"">不稳定性心绞痛</span><b>维拉帕米</b>和<b>地尔硫卓</b>疗效较好。</li></ul><li>药物相互作用：</li><ul><li>与<b>地高辛</b>合用可使地高辛血药浓度升高70%，引起<b>缓慢型心律失常</b></li></ul><li>严重不良反应有低血压和<b>心脏抑制</b><br></li></ul>"	
F8EMu=%61e	问答题	药理学::药物	"<span style=""color: red;"">地尔硫卓</span>"	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>钙通道阻滞药</b></span></li><li>药理作用：抑制心脏和舒张血管作用较强<br></li><li>临床应用：<span style=""color: red;"">可用于治疗<b>阵发性室上性心动过速</b>和<b>心绞痛</b></span><br></li><li>不良反应：<b>低血压和心脏抑制</b></li></ul>"	
JSVeYT]C-Q	问答题	药理学::药物	奎尼丁	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>Ia类抗心律失常药=钠通道适当阻滞剂</b></span></li><li>药理作用：阻滞激活状态的钠通道</li><li>临床应用：<b>广谱抗心律失常药</b></li><li>不良反应（毒性大，安全范围小）</li><ul><li><span style=""color: rgb(170, 0, 0);""><b>金鸡纳反应</b></span>：表现为头痛，头晕，耳鸣，腹泻，恶心，视力模糊</li><li>最常见的消化道反应：呕吐、腹泻<br></li><li>最严重的心血管反应：治疗房颤后可能会引起血管栓塞<br></li><li><span style=""color: rgb(170, 0, 0);""><b>奎尼丁眩晕</b></span>：意识丧失，呼吸停止<br></li></ul></ul>"	
nt[d1+Z1k7	问答题	药理学::药物	普鲁卡因胺	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>Ia类抗心律失常药=钠通道<b>适当</b>阻滞剂</b></span></li><li>药理作用：降低心肌自律性，减慢传导，延长大部分心脏组织的APD和ERP<br></li><li>不良反应：</li><ul><li>过敏反应较常见</li><li>长期应用，少数患者出现<span style=""color:red;mso-bidi-font-weight:bold"">红斑狼疮综合症</span><br></li></ul></ul>"	
C^t:6695]Z	问答题	药理学::药物	利多卡因	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>Ib类抗心律失常药=钠通道轻度阻滞剂</b></span></li><li>临床应用：<span style=""color: red;"">心脏毒性低，<b>室性心律失常</b>首选药</span></li><li>给药：首关消除明显→静脉注射<br></li><li>不良反应：眼球震颤</li></ul>"	
t9-yV68<CO	问答题	药理学::药物	氟卡尼	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>Ic类抗心律失常药=钠通道高度阻滞剂</b></span></li><li>临床应用：广谱抗心律失常药</li></ul>"	
y05c|+Qgo`	问答题	药理学::药物	普萘洛尔-心律失常	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>II类抗心律失常药=β受体拮抗剂</b></span></li><li>临床应用：主要用于<b>室上性心律失常</b>，对交感神经兴奋性过高，甲状腺功能亢进及嗜铬细胞瘤等引起的<span style=""color: rgb(170, 0, 0);"">窦性心动过速</span>效果良好</li></ul>"	
m(*ue-nP~(	问答题	药理学::药物	胺碘酮	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>III类抗心律失常药=钾通道阻滞药</b></span></li><li><b>临床应用：广谱抗心律失常药</b></li><li>不良反应：</li><ul><li>长期应用可见角膜褐色微粒沉着，不影响视力，停药后消失</li><li>个别患者出现<b>间质性肺炎或肺纤维化</b>（致死性肺毒性）</li><li>胺碘酮含碘：导致甲状腺功能紊乱，少数患者发生甲亢或甲低及肝坏死</li></ul></ul>"	
hmQ*|*72$O	问答题	药理学::药物	维拉帕米-心律失常	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>IV类抗心律失常药=钙通道阻滞药</b></span></li><li><span style=""color: rgb(0, 0, 127);""><b>阵发性室上性心动过速</b>首选药<br></span></li></ul>"	
d?mkT3D&m0	问答题	药理学::药物	肝素	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>抗凝血药</b></span></li><li>药理作用：</li><ul><li><b>抗凝作用：增强抗凝血酶III</b>→<b><span style=""color: red;"">强大的体内外抗凝血</span></b></li><li>降血脂作用：水解乳糜微粒、VLDL</li><li>抗炎</li><li>抗血管内膜增生</li><li>抑制血小板聚集</li></ul><li>临床应用</li><ul><li>防治<span style=""color: rgb(170, 0, 0);"">血栓栓塞</span>性疾病：防止血栓形成和扩大，对已形成血栓无溶解作用</li><li><span style=""color: rgb(170, 0, 0);"">DIC早期</span>治疗：防止各种凝血因子和纤维蛋白消耗引起的继发性出血</li><li>防治心肌梗死、脑梗死、心血管手术及外周静脉术后血栓形成（体内抗凝）</li><li><span style=""color: rgb(170, 0, 0);"">体外抗凝</span>：心导管检查、体外循环及血液透析等</li></ul><li>体内过程</li><ul><li>口服无效，采用注射给药<br></li><li><b>体内外均有抗凝作用</b><br></li><li>作用强大、迅速，但维持时间短<br></li></ul><li>不良反应</li><ul><li>过量：自发性出血 | 抢救：正电荷、强碱性的<span style=""color: rgb(170, 0, 0);""><b>鱼精蛋白</b></span><br></li><li>血小板减少症<br></li><li>过敏反应</li><li>骨质疏松</li></ul></ul>"	
w!_kuvgfAN	问答题	药理学::药物	香豆素类	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>抗凝血药</b></span></li><li>机制：香豆素类<b>与VitK结构相似，对抗VitK作用，</b>从而在肝内<span style=""color: rgb(170, 0, 0);"">抑制</span><b>凝血因子Ⅱ、Ⅶ、Ⅸ、Ⅹ</b>的合成</li><li>临床应用：<b>防治血栓栓塞性疾病</b></li><ul><li>对需快速抗凝者则应先用华法林（heparin）发挥治疗作用后再用香豆素类药物维持疗效（序贯疗法）</li><li><b>华法林和醋硝香豆素</b>的作用较<b>双香豆素</b>强而快</li></ul><li>体内过程</li><ul><li>口服易吸收,故有口服抗凝药之称</li><li><span style=""color: rgb(170, 0, 0);"">仅体内有抗凝作用（与肝素区别）</span></li><li>作用<span style=""color: rgb(170, 0, 0);""><b>缓慢而持久</b></span>，不易控制</li><li>对已形成的凝血因子无效,需待原有凝血因子耗竭后方显效</li><li>可透过胎盘屏障&nbsp;<br></li></ul><li>不良反应</li><ul><li>过量易引起自发性出血 | 特殊对抗剂：<b>VitK</b>、输<b>新鲜血浆</b>或全血</li><li>胎儿出血和畸胎生成</li></ul></ul>"	
nJt%:]QTJN	问答题	药理学::药物	枸橼酸钠	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>抗凝血药</b></span></li><li>药理作用：其酸根与Ca<sup>2+</sup>可形成难解离的可溶性络合物，导致血中Ca<sup>2+</sup>浓度降低<br></li><li>临床应用：<b>仅用于体外抗凝</b></li></ul>"	
n:_RRZGs4%	问答题	药理学::药物	链激酶/尿激酶	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>抗血栓药=血栓溶解药</b></span></li><li>药理作用：促纤溶，<b><span style=""color: red;"">生效快</span></b></li><li>临床应用：血栓栓塞性疾病（<b><span style=""color: rgb(0, 176, 80);"">急性肺栓塞和深部静脉血栓</span></b>）</li><li>不良反应：</li><ul><li><b>出血。</b>如严重出血可注射氨甲苯酸对抗，更严重者可补充纤维蛋白原或全血<br></li><li>链激酶具有<b>抗原性</b><br></li></ul><li>解救：氨甲苯酸、<span style=""color: red;"">新鲜血浆</span></li></ul>"	
nIZ`)?zC?A	问答题	药理学::药物	地高辛	"<ul><li><b><span style=""color: rgb(170, 0, 0);"">抗心衰药</span></b></li><li>药理作用<br></li><ul><li>对心脏的作用（<b>抑房扬室</b>）</li><ol><li>正性肌力作用（加强心肌收缩力）</li><ul><li>加快心肌纤维缩短速度，使心肌收缩敏捷，<b>相对延长舒张期</b></li><li>加强心肌收缩力的同时，并不增加心肌耗氧量，甚至<span style=""color: rgb(170, 0, 0);"">使耗氧量降低</span></li><li><span style=""color: rgb(170, 0, 0);"">增加衰竭心脏的心输出量</span></li></ul><li>负性频率作用（减慢心率）</li><ul><li>心肌收缩力加强，心输出量增加，反射性兴奋迷走神经而使心率减慢。</li></ul><li>负性传导作用：</li></ol><ul><ul><li>治疗量<b>兴奋迷走神经</b></li><li>直接/反射性<b>抑制交感神经</b>活性<br></li><li>大剂量直接减慢房室结和浦肯野纤维的传导速度</li></ul></ul><li>血管作用：</li><ul><li>收缩血管平滑肌→外周阻力↑→局部血流↓</li><li>CHF时，强心苷直接/间接抑制交感活性的作用远大于其缩血管效应→局部血流↑</li></ul><li>肾脏作用：</li><ul><li>抑制RAAS→利尿作用</li><li>心输出量↑→肾动脉灌注↑→间接利尿</li><li>抑制肾小管细胞Na+K+ATP酶，减少对Na+再吸收↑→直接利尿<br></li></ul></ul><li><b><span style=""color: rgb(0, 85, 0);"">强心苷中毒</span></b></li><ul><li>机制：明显抑制心肌细胞膜上的Na+K+ATP酶</li><li>治疗：</li><ul><li>快速型心律失常——<span style=""color: rgb(0, 0, 127);"">补钾（<b>氯化钾</b>）</span>、<span style=""color: rgb(0, 85, 0);""><b>苯妥英钠（首选）</b></span>、利多卡因</li><li>缓慢型心律失常（心动过缓、房室传导阻滞）——<b><span style=""color: rgb(0, 85, 0);"">阿托品</span></b></li><li>致死性中毒——<span style=""color: rgb(0, 85, 0);"">地高辛抗体（Fab片段）&nbsp;</span></li></ul></ul><li>临床应用</li><ul><li>治疗<b>心力衰竭</b></li><ul><li>A 伴有心房纤颤或心室率过快的心衰疗效最好</li><li>B 瓣膜病，风湿性心脏病，冠状A硬化性心脏病，高血压性心脏病，先心病较好（<span style=""color: rgb(0, 170, 0);"">高兴吧</span>）</li><li>C 甲亢，严重贫血，肺心病，活动性心肌炎所致的心衰较差</li><li>D 缩窄性心包炎，心包填塞引起的心衰很差或无效</li></ul><li><b>治疗某些心律失常</b></li><ul><li>心房纤颤（首选强心苷）</li><li>心房扑动（最常用强心苷）</li></ul><li><b>阵发性室上性心动过速</b></li></ul><li>体内过程</li><ul><li>长效类：洋地黄毒苷，口服给药</li><li>中效类：地高辛，口服给药</li><li>短效类：毛花苷丙（去乙酰毛花苷）、毒毛花苷K，静脉给药&nbsp;</li></ul><li>不良反应</li><ul><li><b>胃肠道反应</b>：出现较早，有如厌食、恶心、呕吐、腹泻等。应注意补钾或停药。</li><li><b>神经系统反应</b>：头痛、失眠、视觉障碍、视力模糊，如出现黄视或绿视时应考虑停药（停药指征）</li><li><b>心脏毒性反应</b>：主要是<span style=""color: rgb(170, 0, 0);"">各型心律失常</span></li><ul><li>快速性心律失常：以室性早搏最常见</li><li>房室传导阻滞</li><li>窦性心动过缓（&lt;60次/分）</li></ul></ul><li><div><span style=""color: rgb(0, 176, 80);"">禁忌症：室性心律失常，II度以上房室传导阻滞</span></div></li></ul>"	
EbZ{meeC86	问答题	药理学::药物	扩血管药物-抗心衰	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>硝普钠、硝酸甘油</b></span></li><li>迅速降低心脏前后负荷→可改善急性心力衰竭<br></li><li>硝酸甘油：</li><ul><li>同时舒张小静脉、小动脉、冠脉</li><li>静脉舒张→回心血量↓→前负荷↓→<span style=""color: red;"">室壁张力</span><span style=""color: red;"">↓</span>→心肌耗氧量↓</li></ul><li>硝普钠：</li><ul><li>舒张小静脉和小动脉→强大的降压作用</li></ul></ul>"	
w@cJCo,c%K	问答题	药理学::药物	非苷类正性肌力药	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>儿茶酚胺类抗心衰药、磷酸二酯酶抑制类抗心衰药</b></span><br></li><li>儿茶酚胺类：<b>多巴胺</b>、多用于急性心力衰竭，常作静脉滴注<br></li><li>磷酸二酯酶抑制药：</li><ul><li><b>米力农</b>和<b>氨力农</b>：仅供短期静脉给药治疗心力衰竭</li><li><b>维司力农</b>：口服有效的正性肌力药物<br></li><li><b>匹莫苯</b>：钙增敏药<br></li></ul></ul>"	
FsF+V/Mh0)	问答题	药理学::药物	氨甲苯酸/氨甲环酸	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>纤维蛋白溶解抑制药</b></span></li><li>药理作用：抑制纤溶酶原激活因子,从而抑制纤溶酶的形成,使纤维蛋白不能溶解而止血。<br></li><li>临床应用：<b>适用于纤维蛋白<span style=""color: rgb(170, 0, 0);"">溶解活性增高</span>（纤溶亢进）的出血，</b>如DIC后期、产后出血及肺、肝、胰、前列腺等手术后出血</li><li>不良反应：用量过大可产生血栓、诱发心肌梗塞</li></ul>"	
ho9bGRZU+&	问答题	药理学::药物	维生素K	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>促凝血药</b></span></li><li>药理作用：<b>参与肝脏合成凝血因子Ⅱ、Ⅶ、Ⅸ、Ⅹ、抗凝血蛋白C和抗凝血蛋白S</b><br></li><li>临床应用：</li><ul><li>早产儿及新生儿出血等患者</li><li>继发于吸收或利用障碍所致的<span style=""color: rgb(170, 0, 0);"">低凝血酶原症</span></li><li>香豆素类和<span style=""color: rgb(170, 0, 0);"">水杨酸类药物</span>所致的出血</li><li>预防长期口服广谱抗菌药继发<span style=""color: rgb(170, 0, 0);"">维生素K缺乏症&nbsp;</span></li></ul><li>给药：肌内注射</li></ul>"	
j)@0U{9|CP	问答题	药理学::药物	铁剂	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>抗贫血药</b></span><br></li><li>机制：铁是红细胞成熟阶段合成血红素必不可少的物质</li><li>临床应用：</li><ul><li>治疗缺铁性贫血，疗效极佳</li><li>连续用药4~8周血红蛋白（Hb）接近正常，但体内贮铁量的恢复需较长时间&nbsp;</li></ul><li>给药：</li><ul><li>注射剂：右旋糖酐铁、山梨醇铁&nbsp;</li><li>口服剂：<b>枸橼酸铁铵、</b><b>硫酸亚铁</b></li></ul><li>不良反应：</li><ul><li><b>胃肠剌激</b>：恶心、腹痛、腹泻或便秘</li><li><b>急性中毒</b>：小儿口服1g以上，严重胃肠症状、休克、呼吸困难</li></ul><li><span style=""color: rgb(170, 0, 0);"">救治：导泻、洗胃、去铁胺（络合剂）</span><br></li></ul>"	
QxNLw|:YN+	问答题	药理学::药物	叶酸	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>抗贫血药</b></span></li><li>临床应用：主要用于治疗各种<b>巨幼红细胞性贫血，</b>治疗时辅以<span style=""color: rgb(170, 0, 0);"">维生素B12</span>，效果更好</li><li>给药：<b>甲酰四氢叶酸钙</b></li></ul><br>"	
c(7!H{3KY&	问答题	药理学::药物	维生素B12	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>抗贫血药</b></span></li><li>临床应用：主要用于治疗<b>恶性贫血-维生素B12缺乏</b>（改善血象和神经损伤症状），辅以<b>叶酸</b>（只纠正血象不能改善神经损伤症状）</li></ul>"	
NT~Rt96&JY	问答题	药理学::药物	右旋肌酐	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>血容量扩充药</b></span><br></li><li>药理作用&amp;临床应用</li><ul><li>分子量较大，提高血浆胶体渗透压，扩充血容量——各类右旋肌酐<b>主要用于低血容量性休克</b></li><li>小分子量，阻止红细胞和血小板聚集，改善微循环——防止休克后期DIC</li><li>渗透性利尿作用</li></ul></ul>"	
jjhjF%@L0W	问答题	药理学::药物	苯海拉明	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>H1受体阻断药（第一代抗组胺H1受体药）</b></span></li><li>体内过程：维持时间短、中枢作用强、抗胆碱作用强<br></li><li>药理作用：</li><ul><li>抗H1效应</li><ul><li>完全对抗组胺对大多数平滑肌的收缩作用</li><li>对组胺增加毛细血管通透性以及所致的水肿有强大的抑制作用</li><li>对组胺舒张血管和降压作用仅能部分对抗（因为H2受体也参与心血管功能的调节）</li></ul><li>中枢作用：<span style=""color: rgb(170, 0, 0);""><b>镇吐防晕作用</b></span></li></ul><li>临床应用：</li><ul><li>治疗<b>变态反应性疾病</b>（I型超敏反应：荨麻疹、血管神经性水肿、过敏性鼻炎、接触性皮炎）</li><li>防晕动病及止吐</li><li>治疗失眠（尤其是一些皮肤变态反应引起的失眠）</li></ul><li>不良反应</li><ul><li>中枢抑制现象：瞌睡、乏力</li><li>抗胆碱作用：口干、排便困难，青光眼、尿潴留</li><li>其他：粒细胞减少，溶血性贫血</li></ul></ul>"	
GabDn7`5<$	问答题	药理学::药物	阿司咪唑	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>阿司咪唑=息斯敏=H1受体阻断药=第二代抗组胺H1受体药</b></span></li><li>主要特点（副作用小）</li><ul><li>维持时间短</li><li>中枢作用弱</li><li>抗胆碱作用弱</li><li>抗炎作用</li></ul></ul>"	
tJdC{@d7$-	问答题	药理学::药物	氯苯那敏	"<b><span style=""color: rgb(170, 0, 0);"">氯苯那敏=扑尔敏=H1受体阻断药=第一代抗组胺H1受体药<br></span></b>作用同<b>苯海拉明</b>"	
e[^)1Z@r~9	问答题	药理学::药物	沙丁胺醇	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>选择性β2受体激动药=</b></span><b style=""color: rgb(170, 0, 0);"">支气管扩张药=平喘药</b></li><li>药理作用：激动支气管平滑肌β2受体→舒张平滑肌→扩张支气管</li></ul>"	
HI:)bY:_ym	问答题	药理学::药物	"<span style=""color: red;"">克伦特罗</span>"	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>选择性β2受体激动药=</b></span><b>支气管扩张药=平喘药</b></li><li>药理作用：激动支气管平滑肌β2受体→舒张平滑肌→扩张支气管</li></ul>"	
d+|$u/kkWu	问答题	药理学::药物	特布他林	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>选择性β2受体激动药=支气管扩张药=平喘药</b></span></li><li>药理作用：激动支气管平滑肌β2受体→舒张平滑肌→扩张支气管</li></ul>"	
Ra4I<E(|PT	问答题	药理学::药物	"<span style=""color: red;"">色甘酸二钠</span>"	"<ul><li>肥大细胞膜稳定药=<span style=""color: rgb(170, 0, 0);""><b>抗过敏平喘药</b></span><br></li></ul>"	
"yS[#Nv*xe4"	问答题	药理学::药物	磷酸可待因	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>中枢性镇咳药</b></span><br></li><li>临床应用：用于各种原因引起的<span style=""color: rgb(170, 0, 0);"">剧烈干咳</span>，对<span style=""color: rgb(170, 0, 0);"">胸膜炎伴有胸痛者</span>尤其适用</li></ul>"	
k|!.l;J/?X	问答题	药理学::药物	<div>氢氧化镁、三硅酸镁、氢氧化铝</div>	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>抗酸药=治疗消化性溃疡药</b></span></li><li>药理作用：</li><ul><li>弱碱性化合物，能中和胃酸</li><li>降低胃蛋白酶活性</li><li>保护粘膜</li></ul><li>临床应用：反流性食管炎、消化性溃疡<br></li></ul>"	
iY,mHNEX-!	问答题	药理学::药物	西咪替丁	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>西咪替丁=泰胃美=H2受体阻断药=抑制胃酸分泌药</b></span><br></li><li><b>临床应用：</b>主要用于消化性溃疡治疗</li><li>不良反应（不良反应多，已少用）</li><ul><li>胃肠反应：便秘、腹泻、头晕</li><li>长期服用</li><ul><li>阻断雄激素受体→阳痿、娘炮</li><li>老人出现幻觉、癫痫发作</li><li>肝功能损害</li></ul><li>药酶抑制剂：影响其他药物的作用</li></ul></ul>"	
Gf]rL@,Ovt	问答题	药理学::药物	奥美拉唑	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>质子泵抑制药=抑制胃酸分泌药</b></span></li><li>药理作用：</li><ul><li>不可逆抑制H+-K+-ATP酶，抑制泌酸（作用强大、持久）</li><li>升高pH→抑制幽门螺杆菌生长</li></ul></ul>"	
H=E4=O~iv	问答题	药理学::药物	哌仑西平	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>M1受体阻断药（抑制胃酸分泌药）</b></span></li><li>药理作用：阻断M<sub>1</sub>受体，使壁细胞内Ca<sup>2</sup><sup>＋</sup>减少，抑制泌酸<br></li><li>临床应用：治疗胃、十二指肠溃疡</li></ul>"	
l8$M_I1@zw	问答题	药理学::药物	替仑西平	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>（同哌仑西平）M1受体阻断药（抑制胃酸分泌药）</b></span></li><li>药理作用：阻断M<sub>1</sub>受体，使壁细胞内Ca<sup>2</sup><sup>＋</sup>减少，抑制泌酸<br></li><li>临床应用：治疗胃、十二指肠溃疡</li></ul>"	
Gb=}Gnj,cM	问答题	药理学::药物	雷尼替丁	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>组胺H2受体阻断药（治疗消化性溃疡药）</b></span></li><li>抑制药酶作用比西咪替丁弱（不影响其他药物的作用）<br></li></ul>"	
K_^|qj=kTI	问答题	药理学::药物	丙谷胺	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>胃粘膜保护药</b></span></li><li>药理作用：</li><ul><li>阻断胃泌素受体，抑制泌酸</li><li>胃黏膜保护作用&nbsp;</li></ul></ul>"	
g8V5m%pG8^	问答题	药理学::药物	"<span style=""color: red;"">硫糖铝</span>"	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>胃粘膜保护药</b></span></li></ul>"	
"m4$,6!e|2#"	问答题	药理学::药物	枸橼酸铋钾	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>胃粘膜保护药</b></span></li></ul>"	
iSr??qX1TD	问答题	药理学::药物	思密达	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>胃粘膜保护药</b></span></li></ul>"	
x7lq;m_Dc	问答题	药理学::药物	抗幽门螺杆菌药	"<ul><li><span style=""color: rgb(170, 0, 0);"">枸橼酸铋钾</span>+阿莫西林/四环素+甲硝唑</li><li><span style=""color: rgb(170, 0, 0);"">奥美拉唑</span>+阿莫西林+甲硝唑/克拉霉素</li></ul>"	
ly6c>a.m]d	问答题	药理学::药物	<b>稀盐酸</b>	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>10%稀盐酸=助消化药</b></span></li><li>临床应用：慢性胃炎，胃癌，<b>消化不良</b></li></ul>"	
JzxIRldzYW	问答题	药理学::药物	胃蛋白酶	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>助消化药</b></span></li><li>临床应用：胃蛋白酶缺乏症</li></ul>"	
IxU,B$)ZhO	问答题	药理学::药物	<b>胰酶</b>	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>助消化药</b></span></li><li>临床应用：胰功能障碍</li></ul>"	
LofL=yj^6G	问答题	药理学::药物	<b>乳酶生</b>	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>助消化药</b></span></li><li>临床应用：消化不良，小儿腹泻</li></ul>"	
shoP;BN^dI	问答题	药理学::药物	西沙必利	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>胃肠促动药</b></span></li><li>临床止吐药与胃肠促动药合用：<span style=""color: rgb(170, 0, 0);"">多巴胺受体阻断药</span>+西沙必利<br></li></ul><br>选择性激动肠壁神经节神经细胞上的5-HT4受体，促进神经末梢释放乙酰胆碱（相当于间接激动了胃肠道的M受体），从而增加胃肠动力，加强消化道的蠕动。临床上用于治疗胃食管反流症。"	
fPZ5(G9&5w	问答题	药理学::药物	酚酞	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>酚酞=果导=刺激性泻药=接触性泻药</b></span></li></ul>"	
i8kik*jxM3	问答题	药理学::药物	比沙可啶	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>刺激性泻药=接触性泻药</b></span></li></ul>"	
dwz0y%?qo*	问答题	药理学::药物	硫酸钠	"<span style=""color: rgb(170, 0, 0);""><b>渗透性泻药（容积性泻药）</b></span>"	
gQXMkr:T,7	问答题	药理学::药物	乳果糖	"<span style=""color: rgb(170, 0, 0);""><b>渗透性泻药（容积性泻药）</b></span>"	
d~!ghfr9;M	问答题	药理学::药物	液体石蜡	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>润滑性泻药（大便软化药）</b></span></li></ul>"	
piny.;QbTt	问答题	药理学::药物	开塞露	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>50%甘油=开塞露=润滑性泻药（大便软化药）</b></span></li></ul>"	
